filename	female	male	order
10_S27_L005Aligned.sortedByCoord.out.ba	anc	A2	1
11_S28_L005Aligned.sortedByCoord.out.ba	anc	A3	2
12_S29_L005Aligned.sortedByCoord.out.ba	anc	B2	3
13_S30_L005Aligned.sortedByCoord.out.ba	A3	anc	4
14_S31_L005Aligned.sortedByCoord.out.ba	B2	anc	5
15_S32_L005Aligned.sortedByCoord.out.ba	A2	A2	6
17_S33_L005Aligned.sortedByCoord.out.ba	B2	B2	7
18_S34_L005Aligned.sortedByCoord.out.ba	anc	anc	8
19_S35_L005Aligned.sortedByCoord.out.ba	anc	B3	9
1_S19_L005Aligned.sortedByCoord.out.bam	anc	anc	10
20_S36_L005Aligned.sortedByCoord.out.ba	B3	anc	11
21_S37_L005Aligned.sortedByCoord.out.ba	B3	B3	12
22_S38_L005Aligned.sortedByCoord.out.ba	anc	A2	13
23_S39_L005Aligned.sortedByCoord.out.ba	A2	anc	14
24_S40_L005Aligned.sortedByCoord.out.ba	anc	A3	15
25_S25_L001Aligned.sortedByCoord.out.bam	anc	anc	16
25_S41_L005Aligned.sortedByCoord.out.ba	A3	anc	17
26_S26_L001Aligned.sortedByCoord.out.bam	A3	A3	18
26_S42_L005Aligned.sortedByCoord.out.ba	A3	A3	19
27_S43_L005Aligned.sortedByCoord.out.ba	B3	anc	20
28_S44_L005Aligned.sortedByCoord.out.ba	B3	B3	21
29_S45_L005Aligned.sortedByCoord.out.ba	A2	A2	22
2_S20_L005Aligned.sortedByCoord.out.bam	anc	A2	23
30_S46_L005Aligned.sortedByCoord.out.ba	anc	B2	24
31_S47_L005Aligned.sortedByCoord.out.ba	B2	anc	25
32_S48_L005Aligned.sortedByCoord.out.ba	B2	B2	26
33_S49_L005Aligned.sortedByCoord.out.ba	anc	B3	27
34_S50_L005Aligned.sortedByCoord.out.ba	B3	anc	28
35_S51_L005Aligned.sortedByCoord.out.ba	B3	B3	29
36_S52_L005Aligned.sortedByCoord.out.ba	B2	B2	30
37_S53_L005Aligned.sortedByCoord.out.ba	anc	B3	31
38_S54_L005Aligned.sortedByCoord.out.ba	anc	B2	32
39_S55_L005Aligned.sortedByCoord.out.ba	B2	anc	33
3_S21_L005Aligned.sortedByCoord.out.bam	anc	A3	34
4_S22_L005Aligned.sortedByCoord.out.bam	A2	anc	35
5_S23_L005Aligned.sortedByCoord.out.bam	A3	anc	36
6_S24_L005Aligned.sortedByCoord.out.bam	A2	A2	37
7_S25_L005Aligned.sortedByCoord.out.bam	A3	A3	38
9_S26_L005Aligned.sortedByCoord.out.bam	A2	anc	39
