filename	female	male	order
A2--1_S4_L002_R1_001Aligned.sortedByCoord.out.bam	A2	A2	1
A2--2_S5_L002_R1_001Aligned.sortedByCoord.out.bam	A2	A2	2
A2--3_S6_L002_R1_001Aligned.sortedByCoord.out.bam	A2	A2	3
A3--1_S7_L002_R1_001Aligned.sortedByCoord.out.bam	A3	A3	4
A3--2_S8_L002_R1_001Aligned.sortedByCoord.out.bam	A3	A3	5
A3--3_S9_L002_R1_001Aligned.sortedByCoord.out.bam	A3	A3	6
Anc-1_S1_L002_R1Aligned.sortedByCoord.out.bam	anc	anc	7
Anc-2_S2_L002_R1Aligned.sortedByCoord.out.bam	anc	anc	8
Anc-3_S3_L002_R1Aligned.sortedByCoord.out.bam	anc	anc	9
B2--1_S10_L002_R1Aligned.sortedByCoord.out.bam	B2	B2	10
B2--2_S11_L002_R1Aligned.sortedByCoord.out.bam	B2	B2	11
B2--3_S12_L002_R1Aligned.sortedByCoord.out.bam	B2	B2	12
B3--1_S13_L002_R1Aligned.sortedByCoord.out.bam	B3	B3	13
B3--2_S14_L002_R1Aligned.sortedByCoord.out.bam	B3	B3	14
B3--3_S15_L002_R1Aligned.sortedByCoord.out.bam	B3	B3	15
